0,1
staff very,1017
walking distance,889
great location,799
friendly helpful,773
very good,757
staff friendly,731
very friendly,714
very clean,707
very comfortable,680
very helpful,575
room very,544
room clean,518
friendly staff,486
value money,463
short walk,415
clean comfortable,413
good value,412
stayed nights,409
place stay,402
very nice,400
room service,377
darling harbour,373
good location,370
minute walk,354
free wifi,354
definitely stay,351
train station,349
bedroom apartment,329
clean tidy,319
hotel very,316
very close,305
reception staff,288
rooms clean,282
circular quay,280
th floor,277
stayed night,274
good size,271
great place,260
rooms very,256
hotel great,253
car park,249
helpful staff,243
central station,243
opera house,241
location great,237
bed comfortable,237
easy access,236
public transport,229
great value,224
comfortable bed,222
very convenient,221
enjoyed stay,220
minutes walk,219
hotel room,217
city centre,214
staff helpful,211
tea coffee,211
buffet breakfast,209
air conditioning,207
location close,205
easy walk,201
stay stayed,199
very quiet,195
helpful friendly,194
highly recommend,194
bed very,192
room spacious,190
staff great,189
very pleasant,186
room good,182
reasonably priced,174
min walk,173
recommend hotel,172
wi fi,172
hotel staff,172
night stay,172
very spacious,170
room not,170
central location,167
shopping centre,165
location very,165
washing machine,164
comfortable room,164
car parking,162
walk away,160
spacious clean,159
clean room,158
free parking,156
hotel located,156
hotel good,156
very small,154
stayed hotel,153
room great,153
nice clean,151
mini bar,151
easy walking,149
stay hotel,149
location good,149
close city,144
ground floor,142
excellent location,141
comfortable beds,137
room small,136
room nice,136
not too,136
kings cross,135
clean rooms,132
convenient location,132
only thing,130
stay very,130
very happy,129
really good,129
location excellent,129
clean spacious,128
room comfortable,127
comfortable clean,127
great hotel,126
swimming pool,126
very handy,125
only negative,125
definitely recommend,123
nice hotel,123
breakfast included,123
great stay,122
clean modern,122
only downside,121
traffic noise,121
clean staff,120
cross station,120
beds comfortable,118
hotel not,118
southern cross,117
not sure,117
location hotel,115
good hotel,115
breakfast buffet,114
rooms good,114
centrally located,114
apartment very,114
shops restaurants,113
stay great,112
rooms spacious,112
continental breakfast,112
so close,111
room large,111
hotel rooms,111
breakfast good,110
clean bed,108
very easy,107
so not,107
places eat,106
location perfect,106
helpful room,106
pleasantly surprised,106
pleasant stay,106
comfy bed,105
south bank,105
clean good,104
desk staff,103
really enjoyed,103
great view,103
early morning,102
conveniently located,102
good quality,102
customer service,102
great service,102
view room,101
size bed,100
hotel location,100
walk city,100
overnight stay,99
business trip,99
great staff,99
close airport,99
king size,98
really nice,98
good place,97
room bathroom,97
short stay,97
china town,97
overall good,96
room room,96
room ready,96
restaurants bars,96
room quite,94
mins walk,94
very central,94
only short,93
clean very,92
few minutes,92
good stay,92
nice touch,92
hyde park,92
good sized,91
clean quiet,90
little dated,90
stay room,89
not far,89
good service,89
great views,89
hotel close,88
service good,88
not very,88
few days,88
street noise,88
botanical gardens,88
street mall,88
coffee machine,87
bar restaurant,87
parking available,87
staff lovely,87
overall great,87
staff excellent,87
valet parking,87
perfect location,87
harbour bridge,87
water pressure,86
free wi,86
hot water,86
comfortable staff,86
stay staff,86
time stayed,85
friendly efficient,85
check check,85
good restaurants,85
apartment clean,84
washer dryer,84
happy stay,84
pool area,84
restaurants cafes,84
great food,83
rooms great,83
main road,83
bathroom very,83
walk central,83
beds very,82
hotel clean,82
great room,82
breakfast very,82
machine dryer,82
location easy,81
floor room,81
rooms comfortable,81
bed comfy,81
saturday night,81
little bit,81
reasonable price,81
highly recommended,81
good breakfast,80
great restaurants,80
just road,80
late night,80
make sure,79
king bed,79
service very,79
bit noisy,79
overall very,79
cafes restaurants,79
room th,79
free tram,79
service great,78
good staff,78
dining room,78
only issue,78
staff reception,78
staff member,78
staff really,78
good food,77
only minutes,77
comfortable rooms,77
